"region","markanvändningsklass","X2015"
"Aneby","bebyggd mark och tillhörande mark",1955
"Aneby","täkter och gruvområden",198
"Aneby","golfbanor och skidpistar",68
"Aneby","vatten",3621
"Aneby","övrig mark",4582
"Aneby","total landareal",51768
"Gnosjö","åkermark",1612
"Gnosjö","betesmark",628
"Gnosjö","skogsmark, produktiv",25911
"Gnosjö","skogsmark, improduktiv",3155
"Gnosjö","total skogsmark",29066
"Gnosjö","bebyggd mark och tillhörande mark",1855
"Gnosjö","täkter och gruvområden",156
"Gnosjö","golfbanor och skidpistar",62
"Gnosjö","vatten",2950
"Gnosjö","övrig mark",8675
"Gnosjö","total landareal",42055
"Mullsjö","åkermark",1621
"Mullsjö","betesmark",876
"Mullsjö","skogsmark, produktiv",12636
"Mullsjö","skogsmark, improduktiv",1539
"Mullsjö","total skogsmark",14175
"Mullsjö","bebyggd mark och tillhörande mark",1103
"Mullsjö","täkter och gruvområden",29
"Mullsjö","golfbanor och skidpistar",95
"Mullsjö","vatten",1091
"Mullsjö","övrig mark",2115
"Mullsjö","total landareal",20013
"Habo","åkermark",4057
"Habo","betesmark",715
"Habo","skogsmark, produktiv",20449
"Habo","skogsmark, improduktiv",2490
"Habo","total skogsmark",22938
"Habo","bebyggd mark och tillhörande mark",1698
"Habo","täkter och gruvområden",145
"Habo","golfbanor och skidpistar",0
"Habo","vatten",13375
"Habo","övrig mark",3296
"Habo","total landareal",32849
"Gislaved","åkermark",6441
"Gislaved","betesmark",3068
"Gislaved","skogsmark, produktiv",72989
"Gislaved","skogsmark, improduktiv",8887
"Gislaved","total skogsmark",81876
"Gislaved","bebyggd mark och tillhörande mark",5225
"Gislaved","täkter och gruvområden",604
"Gislaved","golfbanor och skidpistar",130
"Gislaved","vatten",8365
"Gislaved","övrig mark",16363
"Gislaved","total landareal",113707
"Vaggeryd","åkermark",4533
"Vaggeryd","betesmark",2260
"Vaggeryd","skogsmark, produktiv",53933
"Vaggeryd","skogsmark, improduktiv",6567
"Vaggeryd","total skogsmark",60500
"Vaggeryd","bebyggd mark och tillhörande mark",3243
"Vaggeryd","täkter och gruvområden",308
"Vaggeryd","golfbanor och skidpistar",145
"Vaggeryd","vatten",3327
"Vaggeryd","övrig mark",11498
"Vaggeryd","total landareal",82488
"Jönköping","åkermark",17633
"Jönköping","betesmark",6167
"Jönköping","skogsmark, produktiv",85572
"Jönköping","skogsmark, improduktiv",10419
"Jönköping","total skogsmark",95991
"Jönköping","bebyggd mark och tillhörande mark",10195
"Jönköping","täkter och gruvområden",436
"Jönköping","golfbanor och skidpistar",402
"Jönköping","vatten",44480
"Jönköping","övrig mark",17197
"Jönköping","total landareal",148021
"Nässjö","åkermark",7837
"Nässjö","betesmark",4076
"Nässjö","skogsmark, produktiv",57838
"Nässjö","skogsmark, improduktiv",7042
"Nässjö","total skogsmark",64880
"Nässjö","bebyggd mark och tillhörande mark",4696
"Nässjö","täkter och gruvområden",554
"Nässjö","golfbanor och skidpistar",67
"Nässjö","vatten",5828
"Nässjö","övrig mark",10912
"Nässjö","total landareal",93022
"Värnamo","åkermark",8273
"Värnamo","betesmark",3526
"Värnamo","skogsmark, produktiv",75544
"Värnamo","skogsmark, improduktiv",9198
"Värnamo","total skogsmark",84742
"Värnamo","bebyggd mark och tillhörande mark",5839
"Värnamo","täkter och gruvområden",455
"Värnamo","golfbanor och skidpistar",100
"Värnamo","vatten",16661
"Värnamo","övrig mark",18646
"Värnamo","total landareal",121582
"Sävsjö","åkermark",5705
"Sävsjö","betesmark",2621
"Sävsjö","skogsmark, produktiv",43466
"Sävsjö","skogsmark, improduktiv",5292
"Sävsjö","total skogsmark",48759
"Sävsjö","bebyggd mark och tillhörande mark",2750
"Sävsjö","täkter och gruvområden",672
"Sävsjö","golfbanor och skidpistar",3
"Sävsjö","vatten",5026
"Sävsjö","övrig mark",7420
"Sävsjö","total landareal",67930
"Vetlanda","åkermark",12394
"Vetlanda","betesmark",6351
"Vetlanda","skogsmark, produktiv",98805
"Vetlanda","skogsmark, improduktiv",12030
"Vetlanda","total skogsmark",110835
"Vetlanda","bebyggd mark och tillhörande mark",6211
"Vetlanda","täkter och gruvområden",299
"Vetlanda","golfbanor och skidpistar",93
"Vetlanda","vatten",10007
"Vetlanda","övrig mark",13852
"Vetlanda","total landareal",150035
"Eksjö","åkermark",6536
"Eksjö","betesmark",3537
