"Municipality","SchoolOrganiser","Gender","Students","value"
"Halmstad","Kommunal","Samtliga","Total",924
"Halmstad","Kommunal","Samtliga","Eligible",743.82
"Halmstad","Kommunal","Samtliga","Ineligible",180.18
"Halmstad","Enskild","Samtliga","Total",186
"Halmstad","Enskild","Samtliga","Eligible",172.05
"Halmstad","Enskild","Samtliga","Ineligible",13.95
"Hammarö","Samtliga","Samtliga","Total",182
"Hammarö","Samtliga","Samtliga","Eligible",169.988
"Hammarö","Samtliga","Samtliga","Ineligible",12.012
"Hammarö","Kommunal","Samtliga","Total",182
"Hammarö","Kommunal","Samtliga","Eligible",169.988
"Hammarö","Kommunal","Samtliga","Ineligible",12.012
"Haninge","Samtliga","Samtliga","Total",935
"Haninge","Samtliga","Samtliga","Eligible",808.775
"Haninge","Samtliga","Samtliga","Ineligible",126.225
"Haninge","Kommunal","Samtliga","Total",772
"Haninge","Kommunal","Samtliga","Eligible",663.92
"Haninge","Kommunal","Samtliga","Ineligible",108.08
"Haninge","Enskild","Samtliga","Total",163
"Haninge","Enskild","Samtliga","Eligible",145.07
"Haninge","Enskild","Samtliga","Ineligible",17.93
"Haparanda","Samtliga","Samtliga","Total",123
"Haparanda","Samtliga","Samtliga","Eligible",89.052
"Haparanda","Samtliga","Samtliga","Ineligible",33.948
"Haparanda","Kommunal","Samtliga","Total",123
"Haparanda","Kommunal","Samtliga","Eligible",89.052
"Haparanda","Kommunal","Samtliga","Ineligible",33.948
"Heby","Samtliga","Samtliga","Total",142
"Heby","Samtliga","Samtliga","Eligible",108.062
"Heby","Samtliga","Samtliga","Ineligible",33.938
"Heby","Kommunal","Samtliga","Total",142
"Heby","Kommunal","Samtliga","Eligible",108.062
"Heby","Kommunal","Samtliga","Ineligible",33.938
"Hedemora","Samtliga","Samtliga","Total",188
"Hedemora","Samtliga","Samtliga","Eligible",140.06
"Hedemora","Samtliga","Samtliga","Ineligible",47.94
"Hedemora","Kommunal","Samtliga","Total",132
"Hedemora","Kommunal","Samtliga","Eligible",95.964
"Hedemora","Kommunal","Samtliga","Ineligible",36.036
"Hedemora","Enskild","Samtliga","Total",56
"Hedemora","Enskild","Samtliga","Eligible",44.016
"Hedemora","Enskild","Samtliga","Ineligible",11.984
"Helsingborg","Samtliga","Samtliga","Total",1598
"Helsingborg","Samtliga","Samtliga","Eligible",1334.33
"Helsingborg","Samtliga","Samtliga","Ineligible",263.67
"Helsingborg","Kommunal","Samtliga","Total",1096
"Helsingborg","Kommunal","Samtliga","Eligible",899.816
"Helsingborg","Kommunal","Samtliga","Ineligible",196.184
"Helsingborg","Enskild","Samtliga","Total",502
"Helsingborg","Enskild","Samtliga","Eligible",435.234
"Helsingborg","Enskild","Samtliga","Ineligible",66.766
"Herrljunga","Samtliga","Samtliga","Total",93
"Herrljunga","Samtliga","Samtliga","Eligible",74.958
"Herrljunga","Samtliga","Samtliga","Ineligible",18.042
"Herrljunga","Kommunal","Samtliga","Total",93
"Herrljunga","Kommunal","Samtliga","Eligible",74.958
"Herrljunga","Kommunal","Samtliga","Ineligible",18.042
"Hjo","Samtliga","Samtliga","Total",95
"Hjo","Samtliga","Samtliga","Eligible",79.04
"Hjo","Samtliga","Samtliga","Ineligible",15.96
"Hjo","Kommunal","Samtliga","Total",95
"Hjo","Kommunal","Samtliga","Eligible",79.04
"Hjo","Kommunal","Samtliga","Ineligible",15.96
"Hofors","Samtliga","Samtliga","Total",83
"Hofors","Samtliga","Samtliga","Eligible",67.977
"Hofors","Samtliga","Samtliga","Ineligible",15.023
"Hofors","Kommunal","Samtliga","Total",83
"Hofors","Kommunal","Samtliga","Eligible",67.977
"Hofors","Kommunal","Samtliga","Ineligible",15.023
"Huddinge","Samtliga","Samtliga","Total",1305
"Huddinge","Samtliga","Samtliga","Eligible",1165.365
"Huddinge","Samtliga","Samtliga","Ineligible",139.635
"Huddinge","Kommunal","Samtliga","Total",1018
"Huddinge","Kommunal","Samtliga","Eligible",888.714
"Huddinge","Kommunal","Samtliga","Ineligible",129.286
