"region","hushållsstorlek","X2019"
"Borgholm","7+ personer",228
"Borgholm","uppgift saknas",7
"Gotland","1 person",11589
"Gotland","2 personer",17652
"Gotland","3 personer",9567
"Gotland","4 personer",11432
"Gotland","5 personer",5410
"Gotland","6 personer",2160
"Gotland","7+ personer",1824
"Gotland","uppgift saknas",52
"Olofström","1 person",2646
"Olofström","2 personer",4270
"Olofström","3 personer",2181
"Olofström","4 personer",2292
"Olofström","5 personer",1125
"Olofström","6 personer",462
"Olofström","7+ personer",426
"Olofström","uppgift saknas",24
"Karlskrona","1 person",12736
"Karlskrona","2 personer",19490
"Karlskrona","3 personer",10230
"Karlskrona","4 personer",14132
"Karlskrona","5 personer",6340
"Karlskrona","6 personer",2034
"Karlskrona","7+ personer",1585
"Karlskrona","uppgift saknas",75
"Ronneby","1 person",5291
"Ronneby","2 personer",8958
"Ronneby","3 personer",4284
"Ronneby","4 personer",5844
"Ronneby","5 personer",2880
"Ronneby","6 personer",1272
"Ronneby","7+ personer",1059
"Ronneby","uppgift saknas",45
"Karlshamn","1 person",6355
"Karlshamn","2 personer",10316
"Karlshamn","3 personer",4836
"Karlshamn","4 personer",6552
"Karlshamn","5 personer",2720
"Karlshamn","6 personer",948
"Karlshamn","7+ personer",723
"Karlshamn","uppgift saknas",23
"Sölvesborg","1 person",3161
"Sölvesborg","2 personer",5774
"Sölvesborg","3 personer",2658
"Sölvesborg","4 personer",3676
"Sölvesborg","5 personer",1340
"Sölvesborg","6 personer",492
"Sölvesborg","7+ personer",325
"Sölvesborg","uppgift saknas",26
"Svalöv","1 person",2000
"Svalöv","2 personer",3794
"Svalöv","3 personer",2448
"Svalöv","4 personer",3388
"Svalöv","5 personer",1435
"Svalöv","6 personer",564
"Svalöv","7+ personer",625
"Svalöv","uppgift saknas",14
"Staffanstorp","1 person",2615
"Staffanstorp","2 personer",6106
"Staffanstorp","3 personer",4206
"Staffanstorp","4 personer",7768
"Staffanstorp","5 personer",2980
"Staffanstorp","6 personer",816
"Staffanstorp","7+ personer",878
"Staffanstorp","uppgift saknas",27
"Burlöv","1 person",2630
"Burlöv","2 personer",4430
"Burlöv","3 personer",3075
"Burlöv","4 personer",4572
"Burlöv","5 personer",2190
"Burlöv","6 personer",996
"Burlöv","7+ personer",1178
"Burlöv","uppgift saknas",41
"Vellinge","1 person",3856
"Vellinge","2 personer",9664
"Vellinge","3 personer",6192
"Vellinge","4 personer",11340
"Vellinge","5 personer",4150
"Vellinge","6 personer",792
"Vellinge","7+ personer",608
"Vellinge","uppgift saknas",26
"Östra Göinge","1 person",2303
"Östra Göinge","2 personer",4274
"Östra Göinge","3 personer",2283
"Östra Göinge","4 personer",3012
"Östra Göinge","5 personer",1615
"Östra Göinge","6 personer",822
"Östra Göinge","7+ personer",684
"Östra Göinge","uppgift saknas",14
"Örkelljunga","1 person",1908
"Örkelljunga","2 personer",3100
"Örkelljunga","3 personer",1581
"Örkelljunga","4 personer",1912
"Örkelljunga","5 personer",940
"Örkelljunga","6 personer",450
"Örkelljunga","7+ personer",376
"Örkelljunga","uppgift saknas",13
"Bjuv","1 person",2085
"Bjuv","2 personer",4158
"Bjuv","3 personer",2841
"Bjuv","4 personer",3360
