"Kommun","Huvudman","Kön","Behörighet","Antal"
"Götene","Kommunal","Samtliga","Gymnasieobehöriga",108
"Habo","Samtliga","Samtliga","Gymnasiebehöriga",19
"Habo","Samtliga","Samtliga","Gymnasieobehöriga",145
"Habo","Kommunal","Samtliga","Gymnasiebehöriga",19
"Habo","Kommunal","Samtliga","Gymnasieobehöriga",145
"Hagfors","Samtliga","Samtliga","Gymnasiebehöriga",24
"Hagfors","Samtliga","Samtliga","Gymnasieobehöriga",88
"Hagfors","Kommunal","Samtliga","Gymnasiebehöriga",24
"Hagfors","Kommunal","Samtliga","Gymnasieobehöriga",88
"Hallsberg","Samtliga","Samtliga","Gymnasiebehöriga",50
"Hallsberg","Samtliga","Samtliga","Gymnasieobehöriga",116
"Hallsberg","Kommunal","Samtliga","Gymnasiebehöriga",50
"Hallsberg","Kommunal","Samtliga","Gymnasieobehöriga",116
"Hallstahammar","Samtliga","Samtliga","Gymnasiebehöriga",24
"Hallstahammar","Samtliga","Samtliga","Gymnasieobehöriga",138
"Hallstahammar","Kommunal","Samtliga","Gymnasiebehöriga",24
"Hallstahammar","Kommunal","Samtliga","Gymnasieobehöriga",138
"Halmstad","Samtliga","Samtliga","Gymnasiebehöriga",194
"Halmstad","Samtliga","Samtliga","Gymnasieobehöriga",916
"Halmstad","Kommunal","Samtliga","Gymnasiebehöriga",180
"Halmstad","Kommunal","Samtliga","Gymnasieobehöriga",744
"Halmstad","Enskild","Samtliga","Gymnasiebehöriga",14
"Halmstad","Enskild","Samtliga","Gymnasieobehöriga",172
"Hammarö","Samtliga","Samtliga","Gymnasiebehöriga",12
"Hammarö","Samtliga","Samtliga","Gymnasieobehöriga",170
"Hammarö","Kommunal","Samtliga","Gymnasiebehöriga",12
"Hammarö","Kommunal","Samtliga","Gymnasieobehöriga",170
"Haninge","Samtliga","Samtliga","Gymnasiebehöriga",126
"Haninge","Samtliga","Samtliga","Gymnasieobehöriga",809
"Haninge","Kommunal","Samtliga","Gymnasiebehöriga",108
"Haninge","Kommunal","Samtliga","Gymnasieobehöriga",664
"Haninge","Enskild","Samtliga","Gymnasiebehöriga",18
"Haninge","Enskild","Samtliga","Gymnasieobehöriga",145
"Haparanda","Samtliga","Samtliga","Gymnasiebehöriga",34
"Haparanda","Samtliga","Samtliga","Gymnasieobehöriga",89
"Haparanda","Kommunal","Samtliga","Gymnasiebehöriga",34
"Haparanda","Kommunal","Samtliga","Gymnasieobehöriga",89
"Heby","Samtliga","Samtliga","Gymnasiebehöriga",34
"Heby","Samtliga","Samtliga","Gymnasieobehöriga",108
"Heby","Kommunal","Samtliga","Gymnasiebehöriga",34
"Heby","Kommunal","Samtliga","Gymnasieobehöriga",108
"Hedemora","Samtliga","Samtliga","Gymnasiebehöriga",48
"Hedemora","Samtliga","Samtliga","Gymnasieobehöriga",140
"Hedemora","Kommunal","Samtliga","Gymnasiebehöriga",36
"Hedemora","Kommunal","Samtliga","Gymnasieobehöriga",96
"Hedemora","Enskild","Samtliga","Gymnasiebehöriga",12
"Hedemora","Enskild","Samtliga","Gymnasieobehöriga",44
"Helsingborg","Samtliga","Samtliga","Gymnasiebehöriga",264
"Helsingborg","Samtliga","Samtliga","Gymnasieobehöriga",1334
"Helsingborg","Kommunal","Samtliga","Gymnasiebehöriga",196
"Helsingborg","Kommunal","Samtliga","Gymnasieobehöriga",900
"Helsingborg","Enskild","Samtliga","Gymnasiebehöriga",67
"Helsingborg","Enskild","Samtliga","Gymnasieobehöriga",435
"Herrljunga","Samtliga","Samtliga","Gymnasiebehöriga",18
"Herrljunga","Samtliga","Samtliga","Gymnasieobehöriga",75
"Herrljunga","Kommunal","Samtliga","Gymnasiebehöriga",18
"Herrljunga","Kommunal","Samtliga","Gymnasieobehöriga",75
"Hjo","Samtliga","Samtliga","Gymnasiebehöriga",16
"Hjo","Samtliga","Samtliga","Gymnasieobehöriga",79
"Hjo","Kommunal","Samtliga","Gymnasiebehöriga",16
"Hjo","Kommunal","Samtliga","Gymnasieobehöriga",79
"Hofors","Samtliga","Samtliga","Gymnasiebehöriga",15
"Hofors","Samtliga","Samtliga","Gymnasieobehöriga",68
"Hofors","Kommunal","Samtliga","Gymnasiebehöriga",15
"Hofors","Kommunal","Samtliga","Gymnasieobehöriga",68
"Huddinge","Samtliga","Samtliga","Gymnasiebehöriga",140
"Huddinge","Samtliga","Samtliga","Gymnasieobehöriga",1165
"Huddinge","Kommunal","Samtliga","Gymnasiebehöriga",129
"Huddinge","Kommunal","Samtliga","Gymnasieobehöriga",889
"Huddinge","Enskild","Samtliga","Gymnasiebehöriga",10
"Huddinge","Enskild","Samtliga","Gymnasieobehöriga",277
"Hudiksvall","Samtliga","Samtliga","Gymnasiebehöriga",72
"Hudiksvall","Samtliga","Samtliga","Gymnasieobehöriga",406
"Hudiksvall","Kommunal","Samtliga","Gymnasiebehöriga",59
"Hudiksvall","Kommunal","Samtliga","Gymnasieobehöriga",321
"Hudiksvall","Enskild","Samtliga","Gymnasiebehöriga",13
"Hudiksvall","Enskild","Samtliga","Gymnasieobehöriga",85
"Hultsfred","Samtliga","Samtliga","Gymnasiebehöriga",42
"Hultsfred","Samtliga","Samtliga","Gymnasieobehöriga",106
