"region","resultaträkningsposter","X2019"
"Grums","generella statsbidrag och utjämning",15793
"Årjäng","skatteintäkter",36726
"Årjäng","generella statsbidrag och utjämning",23040
"Sunne","skatteintäkter",43591
"Sunne","generella statsbidrag och utjämning",16742
"Karlstad","skatteintäkter",46375
"Karlstad","generella statsbidrag och utjämning",6926
"Kristinehamn","skatteintäkter",44439
"Kristinehamn","generella statsbidrag och utjämning",15828
"Filipstad","skatteintäkter",39697
"Filipstad","generella statsbidrag och utjämning",26617
"Hagfors","skatteintäkter",45607
"Hagfors","generella statsbidrag och utjämning",16930
"Arvika","skatteintäkter",41980
"Arvika","generella statsbidrag och utjämning",17149
"Säffle","skatteintäkter",41155
"Säffle","generella statsbidrag och utjämning",21873
"Lekeberg","skatteintäkter",44355
"Lekeberg","generella statsbidrag och utjämning",17708
"Laxå","skatteintäkter",44714
"Laxå","generella statsbidrag och utjämning",18872
"Hallsberg","skatteintäkter",44265
"Hallsberg","generella statsbidrag och utjämning",13310
"Degerfors","skatteintäkter",45209
"Degerfors","generella statsbidrag och utjämning",14437
"Hällefors","skatteintäkter",42314
"Hällefors","generella statsbidrag och utjämning",21837
"Ljusnarsberg","skatteintäkter",40160
"Ljusnarsberg","generella statsbidrag och utjämning",22392
"Örebro","skatteintäkter",44541
"Örebro","generella statsbidrag och utjämning",12458
"Kumla","skatteintäkter",45533
"Kumla","generella statsbidrag och utjämning",14574
"Askersund","skatteintäkter",47038
"Askersund","generella statsbidrag och utjämning",11349
"Karlskoga","skatteintäkter",47533
"Karlskoga","generella statsbidrag och utjämning",12200
"Nora","skatteintäkter",46917
"Nora","generella statsbidrag och utjämning",14379
"Lindesberg","skatteintäkter",46860
"Lindesberg","generella statsbidrag och utjämning",16800
"Skinnskatteberg","skatteintäkter",46049
"Skinnskatteberg","generella statsbidrag och utjämning",17528
"Surahammar","skatteintäkter",46036
"Surahammar","generella statsbidrag och utjämning",12733
"Kungsör","skatteintäkter",44081
"Kungsör","generella statsbidrag och utjämning",19097
"Hallstahammar","skatteintäkter",43829
"Hallstahammar","generella statsbidrag och utjämning",16834
"Norberg","skatteintäkter",48246
"Norberg","generella statsbidrag och utjämning",14336
"Västerås","skatteintäkter",46006
"Västerås","generella statsbidrag och utjämning",8916
"Sala","skatteintäkter",45018
"Sala","generella statsbidrag och utjämning",15918
"Fagersta","skatteintäkter",46017
"Fagersta","generella statsbidrag och utjämning",16238
"Köping","skatteintäkter",46571
"Köping","generella statsbidrag och utjämning",15498
"Arboga","skatteintäkter",45720
"Arboga","generella statsbidrag och utjämning",13882
"Vansbro","skatteintäkter",42107
"Vansbro","generella statsbidrag och utjämning",19224
"Malung-Sälen","skatteintäkter",45536
"Malung-Sälen","generella statsbidrag och utjämning",19328
"Gagnef","skatteintäkter",46588
"Gagnef","generella statsbidrag och utjämning",14936
"Leksand","skatteintäkter",46132
"Leksand","generella statsbidrag och utjämning",11076
"Rättvik","skatteintäkter",44411
"Rättvik","generella statsbidrag och utjämning",16925
"Orsa","skatteintäkter",42659
"Orsa","generella statsbidrag och utjämning",19871
"Älvdalen","skatteintäkter",44295
"Älvdalen","generella statsbidrag och utjämning",23818
"Smedjebacken","skatteintäkter",48878
"Smedjebacken","generella statsbidrag och utjämning",9162
"Mora","skatteintäkter",47657
"Mora","generella statsbidrag och utjämning",13903
"Falun","skatteintäkter",49056
"Falun","generella statsbidrag och utjämning",10361
"Borlänge","skatteintäkter",45836
"Borlänge","generella statsbidrag och utjämning",17621
"Säter","skatteintäkter",49093
"Säter","generella statsbidrag och utjämning",10564
"Hedemora","skatteintäkter",45388
"Hedemora","generella statsbidrag och utjämning",17042
"Avesta","skatteintäkter",45796
"Avesta","generella statsbidrag och utjämning",14716
"Ludvika","skatteintäkter",46574
"Ludvika","generella statsbidrag och utjämning",16193
"Ockelbo","skatteintäkter",45475
"Ockelbo","generella statsbidrag och utjämning",18262
"Hofors","skatteintäkter",48919
"Hofors","generella statsbidrag och utjämning",16160
"Ovanåker","skatteintäkter",42479
"Ovanåker","generella statsbidrag och utjämning",17502
"Nordanstig","skatteintäkter",44003
"Nordanstig","generella statsbidrag och utjämning",17801
"Ljusdal","skatteintäkter",43411
"Ljusdal","generella statsbidrag och utjämning",20426
"Gävle","skatteintäkter",49060
"Gävle","generella statsbidrag och utjämning",9674
"Sandviken","skatteintäkter",46047
"Sandviken","generella statsbidrag och utjämning",12983
"Söderhamn","skatteintäkter",44261
"Söderhamn","generella statsbidrag och utjämning",17822
"Bollnäs","skatteintäkter",43147
"Bollnäs","generella statsbidrag och utjämning",18218
"Hudiksvall","skatteintäkter",45906
"Hudiksvall","generella statsbidrag och utjämning",15001
"Ånge","skatteintäkter",48691
"Ånge","generella statsbidrag och utjämning",18856
"Timrå","skatteintäkter",48983
"Timrå","generella statsbidrag och utjämning",11881
"Härnösand","skatteintäkter",47609
"Härnösand","generella statsbidrag och utjämning",18646
"Sundsvall","skatteintäkter",52449
"Sundsvall","generella statsbidrag och utjämning",8405
"Kramfors","skatteintäkter",46815
"Kramfors","generella statsbidrag och utjämning",19754
"Sollefteå","skatteintäkter",47436
"Sollefteå","generella statsbidrag och utjämning",23448
"Örnsköldsvik","skatteintäkter",49718
"Örnsköldsvik","generella statsbidrag och utjämning",14002
"Ragunda","skatteintäkter",44966
"Ragunda","generella statsbidrag och utjämning",23093
"Bräcke","skatteintäkter",45271
"Bräcke","generella statsbidrag och utjämning",29149
"Krokom","skatteintäkter",45179
"Krokom","generella statsbidrag och utjämning",22393
"Strömsund","skatteintäkter",44524
"Strömsund","generella statsbidrag och utjämning",27179
"Åre","skatteintäkter",42822
"Åre","generella statsbidrag och utjämning",17322
"Berg","skatteintäkter",42270
"Berg","generella statsbidrag och utjämning",30570
"Härjedalen","skatteintäkter",45671
"Härjedalen","generella statsbidrag och utjämning",24062
"Östersund","skatteintäkter",46940
"Östersund","generella statsbidrag och utjämning",16193
"Nordmaling","skatteintäkter",46419
"Nordmaling","generella statsbidrag och utjämning",21853
"Bjurholm","skatteintäkter",44087
"Bjurholm","generella statsbidrag och utjämning",27575
"Vindeln","skatteintäkter",46282
"Vindeln","generella statsbidrag och utjämning",25722
"Robertsfors","skatteintäkter",46192
"Robertsfors","generella statsbidrag och utjämning",19774
"Norsjö","skatteintäkter",47236
"Norsjö","generella statsbidrag och utjämning",27264
"Malå","skatteintäkter",50348
"Malå","generella statsbidrag och utjämning",20005
"Storuman","skatteintäkter",46311
"Storuman","generella statsbidrag och utjämning",27523
"Sorsele","skatteintäkter",46174
"Sorsele","generella statsbidrag och utjämning",30706
"Dorotea","skatteintäkter",47737
"Dorotea","generella statsbidrag och utjämning",33770
"Vännäs","skatteintäkter",47902
"Vännäs","generella statsbidrag och utjämning",19859
"Vilhelmina","skatteintäkter",43869
"Vilhelmina","generella statsbidrag och utjämning",35196
"Åsele","skatteintäkter",43308
"Åsele","generella statsbidrag och utjämning",31267
"Umeå","skatteintäkter",50115
"Umeå","generella statsbidrag och utjämning",6670
"Lycksele","skatteintäkter",47829
"Lycksele","generella statsbidrag och utjämning",23835
"Skellefteå","skatteintäkter",50145
"Skellefteå","generella statsbidrag och utjämning",14172
"Arvidsjaur","skatteintäkter",50662
"Arvidsjaur","generella statsbidrag och utjämning",20154
"Arjeplog","skatteintäkter",52011
"Arjeplog","generella statsbidrag och utjämning",19586
"Jokkmokk","skatteintäkter",50601
"Jokkmokk","generella statsbidrag och utjämning",18313
"Överkalix","skatteintäkter",47248
"Överkalix","generella statsbidrag och utjämning",25620
"Kalix","skatteintäkter",50121
"Kalix","generella statsbidrag och utjämning",15883
"Övertorneå","skatteintäkter",43838
"Övertorneå","generella statsbidrag och utjämning",31901
"Pajala","skatteintäkter",45806
"Pajala","generella statsbidrag och utjämning",30810
"Gällivare","skatteintäkter",59511
"Gällivare","generella statsbidrag och utjämning",7936
"Älvsbyn","skatteintäkter",46666
"Älvsbyn","generella statsbidrag och utjämning",21618
"Luleå","skatteintäkter",52996
"Luleå","generella statsbidrag och utjämning",6831
"Piteå","skatteintäkter",50269
"Piteå","generella statsbidrag och utjämning",9680
"Boden","skatteintäkter",50718
"Boden","generella statsbidrag och utjämning",15252
"Haparanda","skatteintäkter",42092
"Haparanda","generella statsbidrag och utjämning",25138
"Kiruna","skatteintäkter",59807
"Kiruna","generella statsbidrag och utjämning",8400
